YEAR,COUNTY,LABOR FORCE,EMPLOYMENT,UNEMPLOYMENT,UNEMPLOYMENT RATE,
2012,Apache County,23001,18637,4364,19,
2012,Cochise County,54343,49438,4905,9,
2012,Coconino County,71626,65467,6159,8.6,
2012,Gila County,21100,18943,2157,10.2,
2012,Graham County,14594,13353,1241,8.5,
2012,Greenlee County,3584,3289,295,8.2,
2012,La Paz County,8205,7503,702,8.6,
2012,Maricopa County,1911529,1772341,139188,7.3,
2012,Mohave County,78227,69600,8627,11,
2012,Navajo County,43323,37200,6123,14.1,
2012,Pima County,466804,432392,34412,7.4,
2012,Pinal County,149940,137136,12804,8.5,
2012,Santa Cruz County,20293,17157,3136,15.5,
2012,Yavapai County,93162,85150,8012,8.6,
2012,Yuma County,94613,72028,22585,23.9,
2016,Apache County,20418,18042,2376,11.6,
2016,Cochise County,49799,46647,3152,6.3,
2016,Coconino County,74484,69930,4554,6.1,
2016,Gila County,21084,19536,1548,7.3,
2016,Graham County,14433,13445,988,6.8,
2016,Greenlee County,3916,3615,301,7.7,
2016,La Paz County,8506,7983,523,6.1,
2016,Maricopa County,2088551,1991371,97180,4.7,
2016,Mohave County,80843,75410,5433,6.7,
2016,Navajo County,41511,38030,3481,8.4,
2016,Pima County,471452,447695,23757,5,
2016,Pinal County,164605,155330,9275,5.6,
2016,Santa Cruz County,19282,17317,1965,10.2,
2016,Yavapai County,99916,94913,5003,5,
2016,Yuma County,94671,76590,18081,19.1,
2020,Apache County,19585,17107,2478,12.7,
2020,Cochise County,50273,46793,3480,6.9,
2020,Coconino County,72320,65377,6943,9.6,
2020,Gila County,20433,18884,1549,7.6,
2020,Graham County,15470,14506,964,6.2,
2020,Greenlee County,4324,4094,230,5.3,
2020,La Paz County,8757,8140,617,7,
2020,Maricopa County,2266436,2100745,165691,7.3,
2020,Mohave County,86304,77778,8526,9.9,
2020,Navajo County,39347,35406,3941,10,
2020,Pima County,481338,444682,36656,7.6,
2020,Pinal County,188749,174818,13931,7.4,
2020,Santa Cruz County,18862,16724,2138,11.3,
2020,Yavapai County,103882,96224,7658,7.4,
2020,Yuma County,95258,78941,16317,17.1,
